entity,predict,output
POI,kios aditya,kios aditya
POI,metasoftc,"metasoftc, iska "
POI,tempe mend,"tempe mend, t"
POI,pang tuba,"pang tuba angke, no g1"
POI,ksu baru mak,"ksu baru mak, t"
POI,buah batu,buah batu n
POI,toko dunia buah,toko dunia buah
POI,kumpay berkah gale,kumpay berkah gale st
POI,taman bungkul,taman bungkul
POI,anta express tour & travel serv pt tbk,anta express tour & travel serv pt tbk me
POI,mdw darul ulum,mdw darul ulum
POI,ud kayu mas,ud kayu mas
POI,bpsdm hukum dan ham,bpsdm hukum dan ham
POI,madu sari alam,madu sari alam jambi
POI,widy club,widy club
POI,cv daito indah,cv daito indah
POI,pt. putra airla med,"pt. putra airla med, soek "
POI,"beng las mandiri, sukun","beng las mandiri, s"
POI,kateguhan genjik,kateguhan gen
POI,"mas ash shod gang mama arm, pajajaran",mas ash shod gang m
POI,minimarket bu wati,minimarket bu wati
POI,warjo - bejo,"warjo - bejo ars, t"
POI,"mas al-ik, perum","mas al-ik, perum"
POI,kli setda aceh tgk,kli setda aceh tg
POI,pla ofhyfull,pla ofhyfull bu
POI,"war bu wiwid,","war bu wiwid, m"
POI,rose bea salon,"rose bea salon, p"
POI,taman garuda,taman garuda
POI,rumah makan seder,"rumah makan seder, ta"
POI,ria star indonesia. pt,ria star indonesia. pt
POI,ruko babatan pantai i,ruko babatan pantai
POI,"war nasi marem, raya","war nasi marem, r"
POI,"may sung c 7 sum mak agro sby pt, rw",may sung c 7 sum mak agro sby
POI,perumahan alamanda dago permai,perumahan alamanda dago
POI,wisma bal bunga,wisma bal bu
POI,"per pakaian pria wan, rogo","per pakaian pria wan, rogo"
POI,cahaya elektr service,cahaya elektr service
POI,talang pancur,talang pancur
POI,re. soemantad,betty salon
POI,betty salon,betty salon
POI,gapo sri,"gapo sri bina karya,"
POI,optik kaca,optik kaca wij
POI,stasiun gedung ratu,stasiun ged
POI,the big family pulo,"kp pulo, no 31 the "
POI,dekat terminal,dekat terminal lim
POI,gatot subroto,gatot subroto no
POI,aneka jus siduk anak,"aneka jus siduk anak, te"
POI,erfina kencana regency,erfina kencana regency
POI,ger gemim eklesia papusu kecil,"ger gemim eklesia papusu kecil, aerte"
POI,rumah jus & sop buah,rumah jus & sop buah
POI,bri kanca negara,bri kanca negara
POI,war cak ndut raya,war cak ndut ra
POI,percetakan maharani,percetakan maharani
POI,bunda hati kudus,"bunda hati kudus, war"
POI,komplek perhubungan darat,komplek perhubungan darat
POI,warung bakso lon,"warung bakso lon, p"
POI,bakso popey,bakso popey
POI,"pt sekai logi indonesia, r","pt sekai logi indonesia, r "
POI,pt. roda hammer jaya,"pt. roda hammer jaya, le"
POI,ucik,ucik
POI,sewa mobil the mas,sewa mobil the mas pa
POI,shane com - ho,shane com - ho
POI,glo toko,"glo toko, p"
POI,teluk cinta,teluk cinta
POI,keris mas toko,keris mas toko
POI,warung mase,warung mase
